"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","FLR","Fluor Corp","Industrials",-7.2
"1Q23","AMG","Affiliated Managers Group Inc","Financials",-7.1
"1Q23","BMRN","Biomarin Pharmaceutical Inc","Health Care",-7.1
"1Q23","SAP","SAP SE","Information Technology",-7.1
"1Q23","BBVA","Banco Bilbao Vizcaya Argentaria SA","Financials",-7
"1Q23","CAKE","Cheesecake Factory Inc","Consumer Discretionary",-7
"1Q23","GGB","Gerdau SA","Materials",-7
"1Q23","MKL","Markel Group Inc","Financials",-7
"1Q23","TRP","TC Energy Corp","Energy",-7
"1Q23","VTS","Vitesse Energy Inc","Energy",-7
"1Q23","KN","Knowles Corp","Information Technology",-6.9
"1Q23","SQ","Block Inc","Financials",-6.9
"1Q23","TPR","Tapestry Inc","Consumer Discretionary",-6.9
"1Q23","HAIN","Hain Celestial Group Inc","Consumer Staples",-6.8
"1Q23","PWP","Perella Weinberg Partners","Financials",-6.8
"1Q23","MITA","Coliseum Acquisition Corp","NULL",-6.7
"1Q23","PANW","Palo Alto Networks Inc","Information Technology",-6.7
"1Q23","PNM","PNM Resources Inc","Utilities",-6.7
"1Q23","CNMD","Conmed Corp","Health Care",-6.6
"1Q23","MCD","McDonald's Corp","Consumer Discretionary",-6.5
"1Q23","BIO","Bio Rad Laboratories Inc","Health Care",-6.4
"1Q23","CL","Colgate-Palmolive Co","Consumer Staples",-6.4
"1Q23","MSCI","MSCI Inc","Financials",-6.4
"1Q23","PPL","PPL Corp","Utilities",-6.4
"1Q23","SPGI","S&P Global Inc","Financials",-6.4
"1Q23","TRI","Thomson Reuters Corp","Industrials",-6.4
"1Q23","HST","Host Hotels & Resorts Inc","Real Estate",-6.3
"1Q23","JNPR","Juniper Networks Inc","Information Technology",-6.3
"1Q23","JOE","St Joe Co","Real Estate",-6.3
"1Q23","POOL","Pool Corp","Consumer Discretionary",-6.3
"1Q23","SPLK","Splunk Inc","Information Technology",-6.3
"1Q23","CACC","Credit Acceptance Corp","Financials",-6.2
"1Q23","DFS","Discover Financial Services","Financials",-6.2
"1Q23","GFS","Globalfoundries Inc","Information Technology",-6.2
"1Q23","HLMN","Hillman Solutions Corp","Industrials",-6.2
"1Q23","ASB","Associated Banc-Corp","Financials",-6.1
"1Q23","OII","Oceaneering International Inc","Energy",-6.1
"1Q23","SMRT","SmartRent Inc","Information Technology",-6.1
"1Q23","SRCL","Stericycle Inc","Industrials",-6
"1Q23","WHR","Whirlpool Corp","Consumer Discretionary",-6
"1Q23","RVNC","Revance Therapeutics Inc","Health Care",-5.9
"1Q23","SHCO","Soho House & Co Inc","Consumer Discretionary",-5.9
"1Q23","VLD","Velo3D Inc","Industrials",-5.9
"1Q23","BDX","Becton Dickinson and Co","Health Care",-5.8
"1Q23","CHE","Chemed Corp","Health Care",-5.8
"1Q23","GH","Guardant Health Inc","Health Care",-5.8
"1Q23","J","Jacobs Solutions Inc","Industrials",-5.8
