"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"3Q21","SRGA","Surgalign Holdings Inc","Health Care",2.1
"3Q21","TPL","Texas Pacific Land Corp","Energy",2.1
"3Q21","CYRX","Cryoport Inc","Health Care",2
"3Q21","EL","Estee Lauder Companies Inc","Consumer Staples",2
"3Q21","FLR","Fluor Corp","Industrials",2
"3Q21","FSLR","First Solar Inc","Information Technology",2
"3Q21","INGN","Inogen Inc","Health Care",2
"3Q21","WU","Western Union Co","Financials",2
"3Q21","ASGN","ASGN Inc","Industrials",1.9
"3Q21","CARE","Carter Bankshares Inc","Financials",1.9
"3Q21","INT","World Fuel Services Corp","Energy",1.9
"3Q21","KR","Kroger Co","Consumer Staples",1.9
"3Q21","MTRX","Matrix Service Co","Industrials",1.9
"3Q21","NKSH","National Bankshares Inc","Financials",1.9
"3Q21","PIPR","Piper Sandler Companies","Financials",1.9
"3Q21","PRI","Primerica Inc","Financials",1.9
"3Q21","SPT","Sprout Social Inc","Information Technology",1.9
"3Q21","XP","XP Inc","Financials",1.9
"3Q21","ALE","ALLETE Inc","Utilities",1.8
"3Q21","CERS","Cerus Corp","Health Care",1.8
"3Q21","FBK","FB Financial Corp","Financials",1.8
"3Q21","JBI","Janus International Group Inc","Industrials",1.8
"3Q21","LULU","Lululemon Athletica Inc","Consumer Discretionary",1.8
"3Q21","PGRE","Paramount Group Inc","Real Estate",1.8
"3Q21","ROK","Rockwell Automation Inc","Industrials",1.8
"3Q21","SSD","Simpson Manufacturing Co Inc","Industrials",1.8
"3Q21","TNC","Tennant Co","Industrials",1.8
"3Q21","XPO","XPO Inc","Industrials",1.8
"3Q21","ABNB","Airbnb Inc","Consumer Discretionary",1.7
